OOC,TON,AIM,statute,OOC_new
nitrogen levels in the mississippi,river,stop pollution,cwa,waste & pollution
nitrogen oxide emissions,clean air,stop pollution,caa,waste & pollution
no discharge standard in the fwpca,water pollution,challenge regulation,cwa,waste & pollution
noise levels and air emissions and effects on land,open area%air,stop construction,nepa,waste & pollution
non-enforcement,unclear,challenge departmental action,"cwa, rcra, caa, sdwa, epcra",waste & pollution
noncompliance with water contamination limits,wastewater pollutants%water pollution,motion to dismiss by defendants%recover costs%determine liability,cwa,waste & pollution
none,water,stop water pollution,cwa,waste & pollution
none,toxic waste disposal,destroy hazardous substance,"federal hazardous substances act, ffdca",waste & pollution
none,toxic waste disposal,recover costs,cercla,waste & pollution
none,toxic waste disposal,recover damages,cercla,waste & pollution
none,toxic waste disposal%clean water,recover damages,cercla,waste & pollution
notice letter,toxic waste disposal%groundwater%clean air%soil,stop pollution,"rcra, cwa",waste & pollution
notice of action,groundwater,stop pollution,cwa,waste & pollution
noxious odors released from sewage treatment plant,air,enforce regulation,caa,waste & pollution
npdes permit,fauna,oppose motion,cwa,waste & pollution
npdes permit,water,enforce permit,cwa,waste & pollution
npdes permit,water,prevent future pollution,cwa,waste & pollution
npdes permit,toxic waste disposal%river,stop stormwater discharge,cwa,waste & pollution
npdes permit,ocean,stop stormwater discharge,cwa,waste & pollution
npdes permit,water%pollution,challenge dpermit denial,cwa,waste & pollution
npdes permit for grasslands bypass project,water,require permit,cwa,waste & pollution
npdes permit violation,water pollution,review violations%seeking damages,"cwa, cwa",waste & pollution
npdes permit violation,water,motion for reconsideration,cwa,waste & pollution
npdes permit violation%water quality,water pollution%wastewater,seeking judgements on merits,cwa,waste & pollution
npdes permit violations,water pollution,seeking to impose sanctions,cwa,waste & pollution
npdes permit%discharge,water pollution,seeking civil penalties,"cwa, rcra, cercla",waste & pollution
npdes violation,other-environmental,npdes violation,cwa,waste & pollution
npdes violations,water%waste,enforce regulations,cwa,waste & pollution
npl designation,hazardous substances,challenge department action,cercla,waste & pollution
npl od waste disposal sites,waste disposal sites,dont include name on npl,cercla,waste & pollution
nuclear plant,other-nuclear,seeking damages,"rcra, cwa",waste & pollution
nuclear plant,nuclear%river,stop pollution,"rcra, cwa, aea",waste & pollution
nuclear waste storage permit,nuclear%toxic waste disposal,stop spending,"rcra, aea, sdwa",waste & pollution
nuclear weapons facility,exposure to toxic/radioactive waste,recover costs,cercla,waste & pollution
nwp 12,water%pollution,challenge permit,"cwa, nepa",waste & pollution
obligation to defend,water pollution,determine obligation to defend defendants,"cercla, rcra",waste & pollution
ocean,hazardous waste,seek damages,cercla,waste & pollution
ocean dumping permit,water,stop dumping,"ocean dumping act, mprsa, nepa",waste & pollution
ocotillp wind energy facility,air%other environmental,stop construction,"nepa, rcra",waste & pollution
odor emmissions,air%pollution,stop emissions,caa,waste & pollution
old american zinc plant site,toxic waste,recover costs,cercla,waste & pollution
old american zinc plant site,toxic waste/pollution,recover damage costs,cercla,waste & pollution
ongoing construction project%mact determination,clean air,stop air pollution,caa,waste & pollution
ongoing violations of air pollution permit emission limits and other requirements at the san juan power plant,air%pollution,stop violations,caa,waste & pollution
opea's best available technology exemption,clean air%pollution,challenge rule,caa,waste & pollution
operating and managing storm water and wastewater collection,water%pollution,stop violations,cwa,waste & pollution
operating permit for steel foundry,clean air,stop air pollution,caa,waste & pollution
operation of a dairy plant,water%dairy%pollution,stop violations,"cwa, cwa",waste & pollution
operation of a landfill,land%waste,recover response costs,cercla,waste & pollution
operation of a landfill,waste%land,stop violations,rcra,waste & pollution
operation of coal mine,land%pollution%mining,stop damage,rcra,waste & pollution
operation without permits,air,prevent pollution,"caa, cwa",waste & pollution
optimization model for reducing greenhouse gases,air,disclose program,caa,waste & pollution
ordiances enacted by the defendant,pesticide,challenge ordinance enacted by defendant,fifra,waste & pollution
organic compound emissions from pesticides,clean air,stop air pollution,caa,waste & pollution
organophosphate,clean air%open space,damages for pollution,fifra,waste & pollution
origin of contamination,water contamination,motion for reconsideration,cercla,waste & pollution
ownership of contaminated property,toxic waste disposal,determine liability,cercla,waste & pollution
ozone pollution in the chicago area,air,force action,caa,waste & pollution
packing facility,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
pale cyst nematode,soil,stop regulation,"nepa, plant protection act",waste & pollution
paper company mill pollutants,hazardous substances,stop pollution,cwa,waste & pollution
paper production facility,air%pollution%flora,impose pollution control obligations,caa,waste & pollution
past contamination,hazardous waste,approve construction,cercla,waste & pollution
patrick bayou site and insurance policy,toxic pollution%bayou,not cover clean up costs,cercla,waste & pollution
paused permitting application for waste site,clean water%toxic waste disposal,reinstate permit,cwa,waste & pollution
"payment for ""entitlements""",oil,impose fine,none,waste & pollution
payment of expert witness following trial decision,toxic waste disposal%other-environmental,payment for expert,cercla,waste & pollution
pbc contamination,river%water pollution,recover costs%seeking damages,"cercla, rcra, cwa",waste & pollution
pcb contamination,toxic waste disposal,recover damages,cercla,waste & pollution
pcb contamination,soil,stop pollution,"rcra, tsca",waste & pollution
pcb contamination  in ditch,soil%toxic waste disposal,stop pollution,"rcra, cercla, cwa",waste & pollution
pcb contamination%epa authority,river%other-environmental,stop epa inspection,tsca,waste & pollution
pcb discharge,river,establish liability,cwa,waste & pollution
pcb levels in school,clean air%soil,force testing for toxic materials,tsca,waste & pollution
pcb%pollution,water%bay,receive damages,"tsca, cwa",waste & pollution
pcb's%cercla clean up costs,hazardous substances,establish liability,"cercla, rcra",waste & pollution
pcbs,hazardous waste,recover costs,"cercla, tsca",waste & pollution
pcbs,toxic substances,press charges,tsca,waste & pollution
pcbs,hazardous substances,establish liability,cercla,waste & pollution
pcbs,hazardous substances,establish liability,"cercla, rcra",waste & pollution
pcbs,toxic chemicals,get rid of hazardous chemicals,"tsca, rcra, cwa",waste & pollution
pcbs discharge,lake,enforce regulation,"rivers and harbors act, cwa",waste & pollution
pcbs% pce% tce% pah chemicals,toxic waste disposal%open space,recover damages,"cercla, rcra, caa, cwa, tsca",waste & pollution
pcbs%electrical equipment,other-environmental,recover costs%seeking damages,cercla,waste & pollution
pcbs%faulty rail cars,toxic waste disposal,seek damages,"cercla, sdwa, rcra",waste & pollution
pce contamination,property,recover costs,"cercla, rcra",waste & pollution
pce contamination,toxic waste%water%land,recover response costs from dry cleaners,"cercla, cwa",waste & pollution
perchlorate contamination,toxic waste%water%land,recover response costs,cercla,waste & pollution
perchloroethylene,toxic-waste disposal,liability due to contamination,cercla,waste & pollution
perchloroethylene used in russell's dry cleaner,toxic waste,seek damages,cercla,waste & pollution
perfluorooctanoic acid,toxic waste%water,establish liability,none,waste & pollution
permit,waterbodies%mine,waive bond,cwa,waste & pollution
permit,hazardous materials,dismiss charges,rcra,waste & pollution
permit allowing disposal of toxic substance,toxic substances,challenge department action,"cercla, tsca, rcra",waste & pollution
permit application,water%watse,challenge refusal of permit,cwa,waste & pollution
permit authorizing work in the desert,desert%water,challenge permit,"fwca, nepa, cwa, esa",waste & pollution
permit for clean air operation,clean air,motion to remand state regulation,caa,waste & pollution
permit for shuttle service within national park,canyon%other-environmental,preliminary injunction%enter into bidding,"nepa, cwa",waste & pollution
permit issuance,land%wetland,challenge previous decision,cwa,waste & pollution
permit or lack therof for cutting down timber,forest%toxic waste disposal%water,prove liabilty,cwa,waste & pollution
permit to allow discharge of excess fill or dredge material into navigatable waterways,wetlands%ocean,protect shorelines,"esa, nepa, cwa",waste & pollution
permit to convert site into dumping site,toxic waste disposal%wetland%open space,prove land ownership,cwa,waste & pollution
permit to discharge material in a wetland,wetland,establish permit,cwa,waste & pollution
"permits issued to dump ""refuse"" into navigable waters",river,injuctive relief,"nepa, rivers and harbors act, cwa",waste & pollution
permits issued under a record of decision,forest%pond%river,revoke permits,"nepa, cwa",waste & pollution
permits regarding nature use,water,change required permits for area,cwa,waste & pollution
permits under the clean water act,water,challenge permits,"cwa, esa, nepa",waste & pollution
permitting for wetland filling,wetland,allow for development,cwa,waste & pollution
permitting violation,clean air,stop air pollution,"nepa, caa",waste & pollution
personal damage%property damage,hazardous material,seek damages,none,waste & pollution
personal damages,hazardous waste,seek damages,"caa, cercla, tsca",waste & pollution
personal injuries,hazardous materials,seek damages,cercla,waste & pollution
personal injury%property damage,nuclear substance,seek damages,aea,waste & pollution
pesticide,ag-flora,damages,fifra,waste & pollution
pesticide,ag-flora,challenge regulation,"tsca, caa, sdwa, fifra, ffdca",waste & pollution
pesticide,fauna,establish jurisdiction,"esa, fifra, nepa",waste & pollution
pesticide,pesticide,challenge regulation,fifra,waste & pollution
pesticide,flora%fauna,stop pesticide use,"esa, fifra, ffdca",waste & pollution
pesticide,fauna,violation of fifra,"fifra, mbta",waste & pollution
pesticide,open space,stop spraying,"nepa, fifra",waste & pollution
pesticide,open space,continue pesticide use,"fifra, ffdca",waste & pollution
pesticide,forest,stop spraying,"nepa, nfma",waste & pollution
pesticide byproduct,groundwater,recover damages,cwa,waste & pollution
pesticide cleanup,ag-flora,cleanup cost contribution,cercla,waste & pollution
pesticide creation,open space,improper permit use,"nepa, fifra",waste & pollution
pesticide data compensation,other-environmental,confirm award,fifra,waste & pollution
pesticide exposure,other-environmental,recover damages,fifra,waste & pollution
pesticide policies and regulations,ag-flora%pesticides,stop regulation%defendant motion to dismiss,"ffdca, fifra, tsca, nfma",waste & pollution
pesticide registration,other-environmental,stop pesticide registration,fifra,waste & pollution
pesticide regulation,hazardous substances,challenge regulation,"fifra, esa",waste & pollution
pesticide regulation,other-environmental,change pesticide regulation,fifra,waste & pollution
pesticide spraying,clean water%wetlands,stop pesticide spraying,cwa,waste & pollution
pesticide use,ag-flora,remand the case,fifra,waste & pollution
pesticide use,pesticides%land,challenge failure to comply with provisions,fifra,waste & pollution
pesticides,other-environmental,stop regulation,fifra,waste & pollution
pesticides,forest%water supply,stop spraying,fifra,waste & pollution
pesticides,hazardous substance,determine liability,"cercla, fifra",waste & pollution
pesticides,toxic substance,stop sale,fifra,waste & pollution
pesticides,toxic waste disposal,stop regulation,fifra,waste & pollution
petition to regulate cafos,air,compel response,caa,waste & pollution
petroleum,clean water,penalties for pollution,"opa, cwa",waste & pollution
petroleum contamination,land,seek damages,rcra,waste & pollution
petroleum contamination,hazardous waste,establish liability,rcra,waste & pollution
petroleum pollution,land,recover damages,rcra,waste & pollution
petroleum products,environmental contamination,seeking damages,rcra,waste & pollution
petroleum storage leaks,groundwater%swamp,recover costs,"cwa, rcra",waste & pollution
phosphorus discharge,clean water,water quality standards upheld,"cwa, esa, caa",waste & pollution
photographs and videotapes,radioactive material,seeking information,cercla,waste & pollution
picillo superfund site contamination,land%waste%water,establish liability,cercla,waste & pollution
piplines%artificial dams%drege materials,water pollution%fauna%hazardous substances,seeking damages,"cwa, rivers and harbors act",waste & pollution
placement of public notation,toxic waste,relief against placement of signs,cercla,waste & pollution
plaintiff's landfill,open space%toxic waste disposal,stop dumping,"rcra, cercla",waste & pollution
plaintiff's standing%permit limitations%sufficiency of evidence,toxic waste,reconsider decision,cwa,waste & pollution
plaintiffs' complaints,land%petroleum%clean air,liability for injuries due to chemical exposure,"caa, cercla",waste & pollution
plan for cleanup of landfill may harm residents,toxic waste,stop landfill cleanup,cercla,waste & pollution
plastics and synthetic resins and industrial organic chemicals facility,river%pond%toxic waste disposal,stop dumping,"cwa, cwa",waste & pollution
pleading response time,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
plume emitted from the smoke stacks of facilities,air,prevent pollution in future,caa,waste & pollution
plutonium removal,nuclear material,remove nuclear materials,nepa,waste & pollution
point island property,toxic waste disposal,recover clean up costs,cercla,waste & pollution
point source,waterways,stop pollution,cwa,waste & pollution
poisoned drinking water,clean water%aquifer,seek damages,sdwa,waste & pollution
poisoning of potable water,aquifer,seek damages,sdwa,waste & pollution
poisoning private well water,groundwater,seek damages%stop pollution,sdwa,waste & pollution
policing of cwa permits,river,restore river quality,cwa,waste & pollution
pollutant discharge,river,stop pollution,cwa,waste & pollution
pollutant discharge,clean water,cwa violations,"cwa, cwa",waste & pollution
pollutant discharge,clean water,violations of cwa,cwa,waste & pollution
pollutant discharge system from waste water treatment plant,toxic waste disposal%water,stop water pollution,cwa,waste & pollution
pollutant system permits,water,challenge permits,cwa,waste & pollution
pollutants,groundwater,motion for jury,cwa,waste & pollution
pollutants,clean water%open space,stop unclear discharge,"cwa, rcra",waste & pollution
pollutants,creek,stop pollution,"cwa, epcra, rcra",waste & pollution
pollutants,clean water,stop agency regulations,cwa,waste & pollution
pollutants,clean water,violations of cwa,"cwa, nepa, czma",waste & pollution
pollutants,clean water,prevent discharge from dredging,cwa,waste & pollution
pollutants,toxic waste disposal,fees for cleanup,cercla,waste & pollution
pollutants,clean water,stop pollutants,cwa,waste & pollution
pollutants,clean air,violations of caa,caa,waste & pollution
pollutants,clean water%pollution,recover damages due to environmental contamination,"cercla, rcra, cwa",waste & pollution
pollutants,toxic waste disposal,costs from cercla,cercla,waste & pollution
pollutants,open space,stop minign acitivies,"cwa, rcra",waste & pollution
pollutants,clean water,stop release,"rcra, tsca",waste & pollution
pollutants,clean water,uphold regulations,"cwa, esa",waste & pollution
pollutants,clean water,violations of cwa,cwa,waste & pollution
pollutants discharge,petroleum%clean water,cwa violations,cwa,waste & pollution
pollutants from the st. vrain generating facility,nuclear pollution,challenge regulation,"aea, cwa",waste & pollution
pollutants in pine tree lake,water%pollution,stop and punish discharging of pollutants,cwa,waste & pollution
polluted storm water,clean water,stop pollution,cwa,waste & pollution
polluted stormwater,river,stop dumping,"cwa, cwa",waste & pollution
pollution,property,press charges,"cwa, sdwa",waste & pollution
pollution,property,allow intervenor,cercla,waste & pollution
pollution,bay,hold liable,cercla,waste & pollution
pollution,waterbodies,remand case,cwa,waste & pollution
pollution,toxic waste disposal,plaintiff,"cercla, rcra",waste & pollution
pollution,open space,payment for clean up,cercla,waste & pollution
pollution and aesthetic impact,pollution%water%air,stop pollution and impose fines,caa,waste & pollution
pollution and diversion of water,river,stop water diversion,"nfma, cwa",waste & pollution
pollution claims,toxic waste disposal%clean air%clean water,dismiss claims,"rcra, cwa, caa",waste & pollution
pollution clean up costs,hazardous waste,establish liability,"cwa, rcra",waste & pollution
pollution clean-up costs,toxic waste disposal,relief from spill cleanup,cercla,waste & pollution
pollution cleanup costs,groundwater,recover damages,"cercla, rcra",waste & pollution
pollution cleanup costs,hazardous waste,recover costs,cercla,waste & pollution
pollution control facilities,water%ocean%pollution,enforce concent decree,cwa,waste & pollution
pollution discharge permit,water pollution,recover fees,cwa,waste & pollution
pollution emitting,water%lake%land,stop construction of fishing lake,"cwa, nepa",waste & pollution
pollution emitting facility,clean air%pollution,stop violations,"caa, cwa",waste & pollution
pollution exclusion clauses in insurance,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
pollution from defendant facility,air%hazardous substances%waterbodies,seek damages%stop pollution,"caa, cwa, cercla, rcra, sdwa, cercla",waste & pollution
pollution from mine,groundwater%hazardous substances,determine liability,cercla,waste & pollution
pollution from tonawanda coke plant,air,press charges,"rcra, caa, epcra, cwa",waste & pollution
pollution in a river,pollution%water,punish pollution,cwa,waste & pollution
pollution in goose creek,water%toxic waste/pollution,seek injunctive relief,"cwa, esa",waste & pollution
pollution in housatonic river,river,recover costs,"cercla, rcra",waste & pollution
pollution in navigatable waterways,river%other-environmental,contest environmental permit,cwa,waste & pollution
pollution into the scioto river,river,stop pollution,"cwa, cwa, rcra, cercla, none",waste & pollution
pollution levels,pollution%air,recover costs,cercla,waste & pollution
pollution management,water%ocean%fauna,protection of coastal waters,"cwa, czma, esa",waste & pollution
pollution occuring over several years,toxic waste/pollution,stop pollution,cercla,waste & pollution
pollution of road site,toxic waste disposal,dismiss remediation motion,cercla,waste & pollution
pollution on golf course,pond%stream,stop pollution,cwa,waste & pollution
pollution permit violations,water,stop violation,cwa,waste & pollution
pollution permit violations,water,prevent future pollution,"cwa, smcra, cwa",waste & pollution
pollution permit violations,creek,enforce permit,cwa,waste & pollution
pollution released from a salmon farm,clean water%pollutants,stop pollution,cwa,waste & pollution
pollution standards,wetlands,challenge regulation,"cwa, esa",waste & pollution
pollution stemmind from constructins of pipeline,toxic waste disposal,cease contruction of pipeline,cwa,waste & pollution
pollution that occurred at 13 facilites,pollution%air,establish liability,cercla,waste & pollution
polychlorinated biphenyl found in building insulation,hazardous waste%other environmental,recover response costs,cercla,waste & pollution
polychlorinated biphenyls,toxic pollution,seek damages,"tsca, cwa",waste & pollution
polychlorinated biphenyls,toxic waste/pollution,recover damages,"cercla, caa, cwa",waste & pollution
polycholinated biphenyl waste,toxic waste/pollution%other environmental,recover damages,cercla,waste & pollution
polystryrene foam insulation,air%pollution,stop violations,caa,waste & pollution
portland harbor cleanup,coast%ocean,contribution and recovery of costs,"cercla, opa",waste & pollution
potential asbestos in plywood over broken windows,toxic waste/pollution%clean air,file application in forma pauperis,tsca,waste & pollution
potential hazardous substances located at facility,toxic waste disposal%water,access to investigate site,cercla,waste & pollution
potential hazards of asbestos in schools,open space,recover compensation,"cercla, cwa",waste & pollution
potentially contaminated site,toxic waste,establish duty to defend,cercla,waste & pollution
poultry waste disposal,ag-fauna%river,stop dumping,"cercla, sdwa",waste & pollution
power plant,bay,stop pollution,cwa,waste & pollution
power plant,groundwater,stop pollution,cwa,waste & pollution
power plant pollution,air,stop pollution,"caa, cwa",waste & pollution
preexisting environmental damage,air,enforce contract,"caa, fpa",waste & pollution
preharvest burning of fields,ag-flora,stop preharvest burning,cercla,waste & pollution
prevent plaintiffs from presenting evidence,hazardous waste disposal%oil,motion to exclude evidence (defendant),rcra,waste & pollution
previous dumping,open space,cleanup costs,cercla,waste & pollution
previous judgment assigning liability,toxic waste disposal,reconsider judgment,cercla,waste & pollution
previous ruling,other-environmental,oppose defendant objection,"cercla, rcra, cwa",waste & pollution
previous ruling%stormwater discharge,environmental contamination,seeking damages%motion for reconsideration,"cwa, rcra",waste & pollution
previously litigated violations of caa,clean air,stop air pollution,caa,waste & pollution
prior judgement%environmental contamination,hazardous substances,amend a judgement,cercla,waste & pollution
prison conditions,hazardous material,seek damages,"cercla, cwa",waste & pollution
private contaminated land,hazardous waste,clean up pollution,"cercla, rcra",waste & pollution
private permit,wetlands,stop project,"cwa, nepa",waste & pollution
private permit,river,challenge departmental action,"nepa, cwa, esa",waste & pollution
private permit,wetland,challenge departmental action,cwa,waste & pollution
private permit,air,stop permit,"esa, cwa, caa, cwa",waste & pollution
private property value,hazardous waste,recover damages,none,waste & pollution
process for separating chemicals from contaminants,chemicals,patent infringement%seeking damages,caa,waste & pollution
produced the hazardous materials,pollution%land,stop manufacturing activity,cercla,waste & pollution
production of acidic wastewater that discharges into sewer,toxic waste%water,stop violations,cwa,waste & pollution
production of hazardous waste derived fuel,toxic waste disposal,stop hazardous waste disposal,"rcra, caa, cercla",waste & pollution
properties owned by rtc,hazardous product,force environmental assessment,cercla,waste & pollution
property contamination,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
property damage,other-environmental,seeking damages,nepa,waste & pollution
property damage,toxic substances,seek damages,"cwa, sdwa",waste & pollution
property damages,hazardous waste,seek damages,"sdwa, rcra, cercla",waste & pollution
property damages,dam,remand case,fpa,waste & pollution
property damages,hazardous waste,seek damages,rcra,waste & pollution
property waste cleanup,other-environmental,disposable waste cleanup,none,waste & pollution
proposal timing,clean water,update water quality standards,cwa,waste & pollution
proposed intervenor,hazardous waste,allow intervenor,cercla,waste & pollution
proposed rule,clean air,challenge regulation,"caa, energy policy act",waste & pollution
proposed sale of 1*250 acres of land,land,purchase land,"cercla, cwa",waste & pollution
protective order,water pollution,determine scope of discovery,"cwa, cwa",waste & pollution
prove violation of nepa%environmental impact statement on open space in urban renewal area,open space%river,cease project construction,"nepa, caa, nca",waste & pollution
public and private water supply wells,water,stop releasing,cercla,waste & pollution
public meetings addressing cleanup plans,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
purchased apartment,toxic waste,challenge violation,tsca,waste & pollution
pvc manufacturing facilities,clean air,stop air pollution,"caa, rcra, cwa",waste & pollution
qualifying costs,toxic waste disposal,recover costs,cercla,waste & pollution
questionaire to collect data about pollution,water%pollution,request data from surveyees,cwa,waste & pollution
racketeering practices,hazardous waste,enforce violation,rcra,waste & pollution
radioactive contamination,radioactive waste disposal,seeking insurance coverage,cercla,waste & pollution
radioactive waste in landfill,nuclear pollution/waste,recover damages,"cercla, aea",waste & pollution
rail yard,hazardous waste,cleanup liability,cercla,waste & pollution
railroad trackage%interim trail use,toxic waste disposal%trail,recover cleanup costs,cwa,waste & pollution
raw milk,ag-fauna,motion to intervene,ffdca,waste & pollution
raw sewage dumped into lake,lake%water pollution%beach (lake),determine liability,cwa,waste & pollution
rcra,petroleum%toxic waste disposal,uphold challenge under rcra,"rcra, cercla",waste & pollution
rcra,toxic waste disposal,recover clean up costs under rcra,"rcra, cercla",waste & pollution
rcra claim%undisclosed discovered contaminent,toxic waste disposal,recover cleanup costs,"rcra, cercla",waste & pollution
rcra clean up costs,property,seek damages,rcra,waste & pollution
rcra clean up costs,hazardous waste,seek damages,rcra,waste & pollution
rcra clean up project,hazardous waste,request subpoenas,rcra,waste & pollution
rcra liability,toxic waste disposal,assign cleanup liability,"rcra, cwa, cwa",waste & pollution
rcra order,other-environmental,stop enforcement,rcra,waste & pollution
rcra violation,mineral resources,press charges,rcra,waste & pollution
real estate,land,allege contamination of property,"cercla, rcra",waste & pollution
reconsideration,toxic waste disposal,motion for reconsideration (defendant),cercla,waste & pollution
records concerning hazardous substances,toxic waste disposal,compel production of documents%recover attorney fees,cercla,waste & pollution
records of spills and pollution,air pollution%soil%chemical spills,obtain information,rcra,waste & pollution
recoverable costs,toxic waste disposal,reduce environmental consultant payment,"cercla, rcra",waste & pollution
recovery costs tax,property,stop tax,"cercla, rcra",waste & pollution
recycled plastic,hazardous substances,reconsider regulations,"rcra, cwa",waste & pollution
recycling facility,hazardous waste,recover damages,rcra,waste & pollution
recycling material plant,pollution,rcra violations,rcra,waste & pollution
recycling site,toxic waste disposal,recover clean up costs,cercla,waste & pollution
reduce pesticide-related voc emissions,air%pollution,prevent pollution in future,caa,waste & pollution
redwood trees within electric line easement,trees,stop tree cutting,rcra,waste & pollution
refinery pollution,air,approve consent decree,"caa, cercla, epcra, cwa, rcra",waste & pollution
refining plant waste,creek,stop pollution,"cwa, cwa",waste & pollution
refund for taxpayer dollars spent towards water restoration,water%toxic waste disposal,recover funds%stop water pollution,"cwa, cwa",waste & pollution
refusal to allow warrantless inspections,mine%quarry,enforce warrantless inspections,rcra,waste & pollution
refusal to permit use of steel septic tanks,toxic waste%land%water,stop violations,cwa,waste & pollution
refusal to transfer mining permit,mining,seek damages,rcra,waste & pollution
refuse discharged in the monogahela river,water%river,seek conviction for discharging refuse into water,"cwa, rivers and harbors act",waste & pollution
refuse in a tributary,tributary%river%waters,stop discharge of refuse in a tributary,rivers and harbors act,waste & pollution
regulate the handling of solid waste,pollution,recover attorneys' fees,rcra,waste & pollution
regulating out-of-state dischargers,water,regulate pollution,cwa,waste & pollution
regulation appeal process,forest,repeal regulations,"nepa, cercla",waste & pollution
regulation determining liability,nuclear pollution,recover damaged,aea,waste & pollution
regulation of insecticide,soil,challenge regulation,"fifra, ffdca",waste & pollution
regulation of inter-state air quality,clean air,stop ozone pollution,"caa, rcra",waste & pollution
regulation of wastewater treatment aeration basins,hazardous substances,challenge regulation,rcra,waste & pollution
regulation regarding hazardous checmicals,hazardous waste,challenge regulation,"cercla, epcra",waste & pollution
regulation standards of contamination in spokane river,river%toxic waste disposal,stop water pollution,cwa,waste & pollution
regulation violations,clean air,stop distribution,caa,waste & pollution
regulations on sulfuric acid plants,toxic waste disposal%water,challenge epa decision,cwa,waste & pollution
regulatory compliance,groundwater,stop pollution,"cwa, nepa",waste & pollution
regulatory payments,other-environmental,seek damages,"cwa, rcra",waste & pollution
reimbursement for cleanup of hazardous waste,pollution,recover costs,cercla,waste & pollution
relavent evidence,ag-fauna%groundwater,allow evidence,"sdwa, cwa, rcra",waste & pollution
release,open space,damages via cercla,cercla,waste & pollution
release into water,clean water,stop pollutant release,"cwa, cwa",waste & pollution
release of dioxin containing products,chemical contamination,seeking damages,"rcra, cercla",waste & pollution
release of hazardous substances,toxic waste disposal%water,recover cleanup costs,cercla,waste & pollution
release of hazardous substances,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
release of hazardous substances,toxic waste disposal%natural resources,recover costs,cercla,waste & pollution
release of hazardous substances,water%pollution,stop contamination,"cwa, cercla, sdwa, cwa",waste & pollution
release of hazardous substances at industrial site,toxic waste disposal,prove liability%recover cleanup costs%recover costs,cercla,waste & pollution
release of hazardous substances at the nuclear reservation,toxic waste%water,recover damages,cercla,waste & pollution
release of hazardous substances into the environment,land%toxic waste,recover clean up costs,"rcra, sdwa, cercla, caa, cwa, sdwa",waste & pollution
release of hazardous waste from landfill site,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
release of pesricides and agrivultural chemicals,hazardous waste%soil%water,establish liability,"cercla, rcra, cercla",waste & pollution
release of pollutants,open space,violations of cercla,cercla,waste & pollution
release of pollutants,clean water,violations of cwa,"cwa, rcra, cercla",waste & pollution
released hazardous substance,toxic waste%water%land,stop violations,"rcra, cercla",waste & pollution
released polychlorinated biphenyls,land,stop contaminating land,cercla,waste & pollution
releases,clean water,violations of cwa,cwa,waste & pollution
releases,open space%clean water,recover costs,"cwa, cercla, sdwa",waste & pollution
releases,clean air,strengthen review,caa,waste & pollution
releases,clean water,stop discharge,cwa,waste & pollution
releases of pollutants,clean water,violations of sdwa,sdwa,waste & pollution
releases of polychlorinated biphenyls into a river,water%toxic waste,recover cost of damages,cercla,waste & pollution
releasing hazardous substances during wood preservation activities,toxic pollution%soil,recover cleanup costs,"cwa, cercla, tsca",waste & pollution
releasing polluted storm water,water%pollution,stop violations,cwa,waste & pollution
relevant documents,hazardous substance,withold information,cercla,waste & pollution
remedial action,toxic waste disposal,stop toxic pollutant discharge,"cwa, rcra, sdwa, cercla, cwa",waste & pollution
remediation,other-environmental,sue for property damages,cercla,waste & pollution
remediation expenses,park,recover costs,"cercla, sdwa, caa",waste & pollution
removal costs for clean up of site,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
removal of fill already placed on site,wetland,enjoin fill activities,"cwa, rivers and harbors act, cercla, cwa",waste & pollution
removal of hazardous substances,toxic waste disposal%river,recover cleanup costs,cercla,waste & pollution
removal of hazardous waste in necco park,toxic waste disposal,recover costs,cercla,waste & pollution
removal of toxic waste,lead contamination,recover costs,cercla,waste & pollution
renewable identification number market regulation,clean air,determine liability,caa,waste & pollution
"renovation involving ""regulated asbestos containing material",toxic waste,stop violations,caa,waste & pollution
request for finding,ground water%toxic waste disposal,recover clean up costs,rcra,waste & pollution
requirement of permit,wetland%river,stop land-clearing,"rivers and harbors act, cwa, cwa",waste & pollution
reservoir,water source,seek damages,"nepa, rcra",waste & pollution
residential damages,hazardous substance,recover damages,cercla,waste & pollution
residential development sediment accumulation,ponds,stop construction,"cwa, caa, cercla",waste & pollution
residential pollution,hazardous waste,stop pollution,"cercla, rcra, cwa",waste & pollution
residential subdivision%sewer line,wetlands,stop construction,"cwa, nepa",waste & pollution
response costs for cleanup,toxic waste disposal%river,challenge consent decree,cercla,waste & pollution
response costs for contamination,soil,seek reconsideration,cercla,waste & pollution
responsibility for cleanup,clean air,stop air pollution,"rcra, cercla",waste & pollution
responsibility for hazardous waste and costs accrued,hazardous waste disposal,recover costs%determine liability,cercla,waste & pollution
responsibility for toxic waste,toxic waste disposal,add another defendant,cercla,waste & pollution
responsibility of waste clean up,toxic waste disposal,toxic waste cleanup and recovery,cercla,waste & pollution
responsibility to cover costs of clean up,toxic waste,declare no obligation to provide defense,cercla,waste & pollution
